id,products_name,protein_per_100g,fat_per_100g,carb_per_100g,kcal_per_100g
1554,Творог Брест-Литовск 3% Классический,16.7,3,1.4,97
1555,Творог Домик в деревне 0.1%,10,0.1,3.5,55
1556,Творог Домик в деревне 0.2%,16,0.2,1.8,73
1557,Творог Домик в деревне 5.5% мягкий,8.6,5.5,3.5,98
1558,Творог Домик в деревне 9%,16,9,2,153
1559,Творог Ласковое лето 3% зерненый,15.1,3,2.2,96
1560,Творог мягкий нежный обезжиренный,7,0,1,32
1561,Творог 5% зерненый,12.7,5,2.4,105
1562,Творог 5% зерненый с клубникой,10.3,5,12.5,127
1563,Творог 5% зерненый с малиной,10.3,4,12.2,126
1564,Творог 5% зерненый с персиком,10.3,4,13.1,130
1565,Творог 5% зерненый с черникой,10.3,4,13.1,127
1566,Творог 5% классический,16,5,3,121
1567,Творог 9% ,16,9,3,157
1568,Творог Савушкин продукт 0% обезжиренный Мягкий Нежный,10,0.1,1,45
1569,Творог Савушкин продукт 5% Мягкий Нежный,8.5,5,1.6,85
1570,Творог Савушкин Хуторок 0% рассыпчатый,18.3,0.1,1.3,79
1571,Творог Савушкин Хуторок 1%,18,1,1.3,86
1572,Творожная масса,7.1,23,27.5,341
1573,Творожная масса с курагой 23%,7.7,20.7,30.2,338
1574,Творожная масса Картошка,10.9,20,27.6,334
1575,Творожная масса  с сахаром и изюмом,7.7,20.7,31.6,344
1576,Творожная масса с сахаром и курагой,7.9,20.7,30.2,339
1577,Творожная масса с изюмом,6.8,21.6,29.9,343
1578,Творожная масса с курагой,9,23,29,357
1579,Творожный продукт Чудо со вкусом ванили с шоколадным соусом,4.2,5.6,17.3,136
1580,Творожок 0.5% с ванилином,16,0.5,10,108
1581,Творожок Чудо вишня-черешня,4.4,4,20.2,134
1582,Творожок Чудо киви-банан,4.4,4.2,16.9,123
1583,Творожок Чудо клубника,4.4,4.2,18.6,130
1584,Творожок Чудо клубника-земляника,4.4,4,19.4,131
1585,Творожок Чудо персик-груша,4.4,4.2,18.9,131
1586,Творожок Чудо черника,4.4,4.2,19,131
1587,Творожок Чудо шоколад,4.4,4.2,19.1,132
1588,Абрикос,0.9,0.1,9,44
1589,Абрикос консервированный,0.4,0.1,15.5,67
1590,Авокадо,2,20,6,212
1591,Айва,0.6,0.5,9.8,40
1592,Алыча,0.2,0,6.9,27
1593,Ананас,0.4,0.2,10.6,49
1594,Ананас консервированный,0.1,0.1,14,57
1595,Апельсин,0.9,0.2,8.1,36
1596,Апельсин маринованный,0.6,0,8.9,37
1597,Арбуз,0.6,0.1,5.8,25
1598,Арбуз консервированный,0.5,0.1,9,37
1599,Банан,1.5,0.2,21.8,95
1600,Вишня,0.8,0.5,11.3,52
1601,Вишня 4 сезона без косточки замороженная,0.8,0.2,10.7,50
1602,Вишня Hortex без косточки замороженная,0.9,0.4,9.9,49
1603,Вишня замороженная,0.9,0.4,11,46
1604,Вишня консервированная,0.8,0.2,10.6,45
1605,Гранат,0.9,0,13.9,52
1606,Грейпфрут,0.7,0.2,6.5,29
1607,Груша,0.4,0.3,10.9,42
1608,Груша консервированная,0.2,0,15.6,65
1609,Гуава,2.6,1,8.9,68
1610,Гуава земляничная,0.6,0.6,17.4,69
1611,Дуриан,1.5,5.3,23.3,147
1612,Дыня,0.6,0.3,7.4,33
1613,Дыня медовая,0.6,0.3,7.4,33
1614,Инжир,0.7,0.2,13.7,49
1615,Карамбола,1,0,7,31
1616,Кивано,1.8,1.3,7.6,44
1617,Киви,1,0.6,10.3,48
1618,Кизил,1,0,10.5,44
1619,Клементин,0.9,0.2,10.3,47
1620,Кумкват,1.9,0.9,9.4,71
1621,Лайм,0.9,0.1,3,16
1622,Лимон,0.9,0.1,3,16
1623,Лимон маринованный,0.4,0.3,6.5,21
1624,Лимон японский (Юзу),0.5,0.1,7,21
1625,Личи,0.8,0.3,14.4,65
1626,Лукума,0.1,0.1,7.9,32
1627,Маболо,0.5,0.4,15.3,67
1628,Маклюра (Адамово яблоко),0,0,0,0
1629,Маммея,0.5,0.5,9.5,51
1630,Манго,0.5,0.3,11.5,67
1631,Мангостан (мангостин),0.6,0.3,14,62
1632,Мандарин,0.8,0.2,7.5,33
1633,Мандарин консервированный,0.6,0.3,8.9,37
1634,Маракуйя,2.4,0.4,13.4,68
1635,Маранг,2.5,0.7,27.3,125
1636,Марула,0.6,0.5,9.6,48
1637,Мора,1.5,0.5,5.9,34
1638,Мушмула германская,0,0,12,53
1639,Мушмула японская,0.4,0.2,10.4,47
1640,Нектарин,0.9,0.2,11.8,48
1641,Нойна (Сахарное яблоко),0.4,0.4,9.8,47
1642,Папайя,0.6,0.1,9.2,48
1643,Персик,0.9,0.1,11.3,46
1644,Персики консервированные,0.3,0.1,14.7,68
1645,Питайя,0.5,0.3,12,50
1646,Помело,0.6,0.2,6.7,32
1647,Рамбутан,0.6,0.2,19,82
1648,Слива,0.8,0.3,9.6,42
1649,Слива 4 сезона без косточки замороженная,0.8,0.2,7.7,34
1650,Тамарилло,0,0,12.5,50
1651,Фейхоа,1,1,11,49
1652,Фруктовая смесь 4 сезона замороженная,0.9,0,7.7,34
1653,Хурма,0.5,0.4,15.3,67
1654,Черешня,1.1,0.4,11.5,50
1655,Яблоко,0.4,0.4,9.8,47
1656,Яблоко Голден,0.5,0.2,10.7,53
1657,Яблоко Гренни Смит,0.4,0.4,9.7,48
1658,Яблоко печёное кисло-сладкое,0.5,0.5,12.3,59
1659,Яблоко печёное сладкое,0.5,0.3,24,89
1660,Яблоко Фуджи,0.4,0.2,19.1,71
1661,Барбарис,0,0,7.9,29
1662,Боярышник,0,0,14,52
1663,Брусника,0.7,0.5,9.6,43
1664,Брусника 4 сезона замороженная,0.7,0.5,8.2,40
1665,Брусника Hortex замороженная,0.7,0.4,7.5,36
1666,Брусника мочёная,0.3,0.2,5.3,24
1667,Бузина,0.7,0.5,11.4,73
1668,Виноград,0.6,0.2,16.8,65
1669,Виноград белый Дамские пальчики,0.6,0.2,13.5,60
1670,Виноград белый кишмиш,0.7,0.2,17.2,69
1671,Виноград фиолетовый ранний,0.6,0.2,16.8,65
1672,Голубика,1,0,8.2,35
1673,Ежевика,2,0,6.4,31
1674,Ежевика 4 сезона замороженная,2.1,0.4,4.6,31
1675,Ежевика Hortex замороженная,2,0,3.8,23
1676,Жимолость,0,0,7.8,30
1677,Земляника,0.8,0.4,7.5,41
1678,Ирга,0,0,12,45
1679,Калина,0,0,7,26
1680,Клубника,0.8,0.4,7.5,41
1681,Клубника 4 сезона замороженная,0.8,0.1,6.6,34
1682,Клубника Hortex замороженная,0.7,0.4,5.4,32
1683,Клубника консервированная,0.6,0.3,16.1,65
1684,Клюква,0.5,0,6.8,26
1685,Клюква 4 сезона замороженная,0.5,0.2,3.9,18
1686,Клюква Hortex замороженная,0.5,0,3.8,17
1687,Компотное ассорти Hortex с клубникой замороженная,1.1,0.3,3.2,52
1688,Крыжовник,0.7,0.2,12,43
1689,Лимонник,1,0,1.9,11
1690,Малина,0.8,0.5,8.3,46
1691,Малина 4 сезона замороженная,0.8,0.5,8.3,39
1692,Можжевельник,0,0,31,116
1693,Морошка,0.8,0,9.8,28
1694,Облепиха,1.2,5.4,5.7,82
1695,Облепиха Hortex замороженная,1.2,5.4,5.7,82
1696,Рябина,1.5,0.1,10.9,50
1697,Смородина белая,0.5,0.2,8,42
1698,Смородина красная,0.6,0.2,7.7,43
1699,Смородина чёрная,1,0.4,7.3,44
1700,Смородина чёрная 4 сезона замороженная,1,0.2,6.1,28
1701,Смородина чёрная Hortex замороженная,1.3,0.2,7,51
1702,Фруктовая смесь Hortex с малиной замороженная,1,0.3,6.4,40
1703,Черника,1.1,0.4,7.6,44
1704,Черника 4 сезона замороженная,1.1,0.6,8.2,43
1705,Черника Hortex замороженная,1.1,0.6,6,34
1706,Черноплодная рябина,1.5,0.2,10.9,55
1707,Шефердия серебристая,0.5,0.2,3.7,28
1708,Шиповник,1.6,0,14,51
1709,Меланж яичный,12.7,11.5,0.7,157
1710,Омлет,9.6,15.4,1.9,184
1711,Омлет из взбитых сливок,6.4,14.8,26.2,257
1712,Омлет из яичного порошка,10.3,17,1.6,200
1713,Омлет с сыром,16.3,29.7,2.6,342
1714,Яичница глазунья,11.9,17.3,0.7,215
1715,Яичный порошок,46,37.3,4.5,542
1716,Яйцо гусиное,13.9,13.3,1.4,185
1717,Яйцо индюшиное,13.1,11.7,0.7,165
1718,Яйцо куриное,12.7,10.9,0.7,157
1719,Яйцо куриное (белок),11.1,0,0,44
1720,Яйцо куриное (вареное в мешочек),12.7,11.5,0.7,157
1721,Яйцо куриное (вареное вкрутую),12.9,11.6,0.8,160
1722,Яйцо куриное (вареное всмятку),12.8,11.6,0.8,159
1723,Яйцо куриное (желток),16.2,31.2,1,352
1724,Яйцо куриное (пашот),12.7,10.9,1.2,159
1725,Яйцо куриное маринованное,11,10,0,148
1726,Яйцо перепелиное,11.9,13.1,0.6,168
1727,Яйцо страусиное,12.2,11.7,0.7,118
1728,Яйцо утиное,13.3,14.5,0.1,185
1729,Попкорн карамельный,5.3,8.7,76.1,401
1730,Попкорн солёный,7.3,13.5,62.7,407
1731,Попкорн сырный,5.8,30.8,50.1,506
1732,Снеки Cheetos кукурузные Хот Дог,5.5,16,6.9,490
1733,Соломка картофельная Бульба Sticks Кетчуп,5.8,30,52,510
1734,Соломка картофельная Бульба Sticks Сметана и лук,6.3,30,51,510
1735,Соломка рыбная,46,3,5,231
1736,Соломка сладкая,9.1,6.1,69.3,372
1737,Соломка солёная,9.4,4.5,67,347
1738,Сухарики Хрусteam Багет сырное ассорти,10.5,15.7,66,445
1739,Сухарики Хрусteam копчёная колбаска,9.1,14.4,64,423
1740,Сухарики Хрусteam лесные грибы,9,14.3,66,428
1741,Сухарики Хрусteam салями,8.5,12,69,425
1742,Сухарики Хрусteam сметана,9.5,15,63,426
1743,Сухарики Хрусteam сыр,9.1,14.5,65,427
1744,Сухарики Хрусteam телятина на гриле,8.8,14,65,420
1745,Сухарики Хрусteam томат,9,14.3,65,426
1746,Чипсы Estrella деревенская сметана и лук,5.2,30.9,53.9,514
1747,Чипсы Estrella душистый укроп,5.2,31.2,53.7,517
1748,Чипсы Estrella нежный сыр,4.9,31.5,53.8,519
1749,Чипсы Estrella сметана и нежный сыр,4.9,31.4,53.7,518
1750,Чипсы Lays Max сметана и лук,6,30,53,510
1751,Чипсы Lays Max сметана и сыр,6.5,30,53,510
1752,Чипсы Lays бекон,6.5,30,53,510
1753,Чипсы Lays белые грибы со сметаной,6,32,51,515
1754,Чипсы Lays зелёный лук,6.5,30,53,510
1755,Чипсы Lays Из печи Нежный сыр с зеленью,5,16,70,445
1756,Чипсы Lays краб,6.5,30,53,510
1757,Чипсы Lays красная икра,7,30,53,510
1758,Чипсы Lays малосольные огурчики с укропом,6.5,31,53,520
1759,Чипсы Lays с солью,6,31,52,520
1760,Чипсы Lays сметана и зелень,6,30,53,510
1761,Чипсы Lays сыр,6.5,30,53,510
1762,Чипсы Lays шашлык,6,32,51,515
1763,Чипсы Pringles барбекю,4.9,35,48,550
1764,Чипсы Pringles копчёный бекон,5.1,34,49,551
1765,Чипсы Pringles оригинальные,4.1,36,49,540
1766,Чипсы Pringles паприка,3.2,34,49,529
1767,Чипсы Pringles сметана и лук,3.9,34,50,527
1768,Чипсы Pringles сыр и лук,4.1,34,50,550
1769,Чипсы Pringles сырный сыр,5,35,48,534
1770,Чипсы банановые,2.3,33.6,50.7,519
1771,Чипсы кокосовые,5.9,35.5,55.8,566
1772,Чипсы Корнерсы цельнозерновые Нежный сыр,7,10,60,360
1773,Чипсы Корнерсы цельнозерновые Оливковое масло и розмарин,6.5,10,60,360
1774,Чипсы Корнерсы цельнозерновые Томат и базилик,6.5,10,60,360
1775,Чипсы нори,24.9,23.8,47.6,476
1776,Чипсы фруктовые,3.2,0,78.1,350
1777,Чипсы фруктовые FitFruits Личи,5,0,84,360
1778,Чипсы фруктовые FitFruits Манго,2,0,85,345
1779,Чипсы яблочные,2.2,0.1,59,253
1780,Мороженое Oreo с дробленым печеньем в вафельном рожке,3.5,12,39,280
1781,Мороженое пломбир,3.7,14,23,230
1782,Мороженое пломбир шоколадный в стаканчике,4,11.5,22,210
1783,Мороженое пломбир натуральные сливки,3.9,15,20.4,232
1784,Мороженое Птичье молоко,3.7,12.9,30,251
1785,Мороженое Магнат Брюнетка,4.3,17.4,29.9,293
1786,Мороженое Магнат Мадагаскар тёмный шоколад,4,18.5,26.1,287
1787,Мороженое Магнат пломбир,4.3,20.1,26.7,305
1788,Мороженое молочное,3.2,3.5,21.3,126
1789,Мороженое молочное клубничное,3.8,2.8,22.2,123
1790,Мороженое молочное крем-брюле,3.5,3.5,23.1,134
1791,Мороженое молочное ореховое,5.4,6.5,20.1,157
1792,Мороженое молочное шоколадное,4.2,3.5,23,138
1793,Мороженое пломбир крем-брюле,3,15,23,235
1794,Мороженое пломбир ореховый,5.2,18,19.9,259
1795,Мороженое пломбир шоколадный,3.6,15,22.3,236
1796,Мороженое эскимо без глазури,3.7,13.2,20.4,215
1797,Мороженое пломбир ванильный в вафлях,3.7,14,23,230
1798,Мороженое пломбир Черника,3,12,27,230
1799,Мороженое с арахисом и карамелью,4.6,23.8,27.3,342
1800,Мороженое сливочное,3.3,10,19.8,179
1801,Мороженое сливочное клубничное,3.8,8,20.9,165
1802,Мороженое сливочное крем-брюле,3.5,10,21.6,186
1803,Мороженое сливочное ореховое,5.5,13,18.6,210
1804,Мороженое сливочное шоколадное,3.5,10,21.5,188
1805,Мороженое Экзо Арбуз и дыня,1.9,3.9,28.7,166
1806,Мороженое Экзо Черника и ежевика,1.9,3.9,28.7,166
1807,Мороженое эскимо,3.5,20,19.6,270
1808,Шоколад,5.4,35.3,56.5,544
1809,Шоколад Alpen Gold Апельсин и Бренди,5.7,28.5,58.6,516
1810,Шоколад Alpen Gold Арахис и Кукурузные хлопья,7,27.7,59.7,518
1811,Шоколад Alpen Gold Капучино,5.4,31.6,57.5,539
1812,Шоколад Alpen Gold Клубника с Йогуртом,4.8,33.5,57.4,553
1813,Шоколад Alpen Gold Миндаль и кокос,6.3,32.6,56.3,545
1814,Шоколад Alpen Gold Молочный,5.7,27.9,61.4,522
1815,Шоколад Alpen Gold Печенье и Изюм,5.6,25.2,62.5,502
1816,Шоколад Alpen Gold Солёный арахис и крекер,7.7,29,53,525
1817,Шоколад Alpen Gold Темный,5.7,28.5,58.7,517
1818,Шоколад Alpen Gold Трюфель,5.3,33.5,55.3,546
1819,Шоколад Alpen Gold Фундук,6.4,30.3,57.9,532
1820,Шоколад Alpen Gold Фундук и Изюм,5.7,25.3,59.6,493
1821,Шоколад Alpen Gold Фундук и Хрустящая Вафля,6.8,30.6,55,525
1822,Шоколад Alpen Gold Черника с Йогуртом,4.8,33.7,57.2,553
1823,Шоколад Bounty,3.1,25.3,60,485
1824,Шоколад Bounty Trio,3.9,24.6,57.9,471
1825,Шоколад Bounty Райский Ананас,3.2,25.6,59,486
1826,Шоколад Bounty Райское Манго,3,25.5,59.5,485
1827,Шоколад Callebaut без сахара тёмный 53.9%,5.1,36,45.9,478
1828,Шоколад Dove молочный с дробленым фундуком,7.5,34.3,53,555
1829,Шоколад Kinder,8.7,34.7,53.5,561
1830,Шоколад Kinder Bueno,9.3,37.5,48.2,568
1831,Шоколад Kinder сюрприз,8.6,32.9,53,543
1832,Шоколад KitKat,6.3,28.2,61.1,524
1833,Шоколад M&M's с арахисом,9.6,26.4,62.2,512
1834,Шоколад M&M's с шоколадом,4.9,20.3,73,472
1835,Шоколад M&M's со вкусом лесного ореха,5,19.6,70.9,480
1836,Шоколад Mars,4.4,18.2,68,453
1837,Шоколад Mars Max,4.4,18.1,68,453
1838,Шоколад Milka Choko Biscuit,5.9,34,55,558
1839,Шоколад Milka Oreo,5.4,34,56,553
1840,Шоколад Milka молочный,5.7,31,57.6,534
1841,Шоколад Milka молочный с арахисом и карамелью,9.1,33,51,546
1842,Шоколад Milka молочный с фундуком,6.6,33.8,53.4,545
1843,Шоколад Milka молочный с фундуком и изюмом,5.6,26.8,56.9,495
1844,Шоколад Milka молочный с цельным фундуком,7.5,36.5,49,555
1845,Шоколад MilkyWay,3.6,16.8,71.7,452
1846,Шоколад MilkyWay 1+1,3.5,16.8,71.7,452
1847,Шоколад MilkyWay Клубничный коктейль,3.5,16.8,71.6,452
1848,Шоколад Nestle Nesquik,5.9,22.1,65.6,485
1849,Шоколад Nuts Арахис,10.6,28.5,49.8,498
1850,Шоколад Nuts Мегабайт,6.8,26.7,59.1,504
1851,Шоколад Nuts Мегабайт новая нежная нуга,6.6,26.7,59,507
1852,Шоколад Nuts Ореховый Тюнинг,6.8,26.6,59.1,504
1853,Шоколад Picnic,7.4,28.8,56.6,504
1854,Шоколад Picnic Мега,7.4,28.8,56.6,504
1855,Шоколад Picnic Мега Грецкий орех,4.2,33.2,41.7,473
1856,Шоколад Ritter Sport Schokowurfel,7,37,50,562
1857,Шоколад Ritter Sport белый с цельным лесным орехом,8.4,39.9,47.6,583
1858,Шоколад Ritter Sport горький с какао из Папуа Новая Гвинея,6.2,32.1,52.6,524
1859,Шоколад Ritter Sport горький с нежным кремом à la Mousse au Chocolat,6.6,35.9,46.4,535
1860,Шоколад Ritter Sport горький с элитным какао из Эквадора,8.3,44.6,31,558
1861,Шоколад Ritter Sport зимний Апельсин-Марципан,6,27,57,497
1862,Шоколад Ritter Sport зимний Ванильный Рогалик,6,38,52,571
1863,Шоколад Ritter Sport зимний Карамель-Миндаль,7,31,57,532
1864,Шоколад Ritter Sport молочный с альпийским молоком,8.3,31.4,55.6,538
1865,Шоколад Ritter Sport молочный с вишней Амарена,5,38.6,52,574
1866,Шоколад Ritter Sport молочный с карамелью и орехом,7.5,36.6,50.4,561
1867,Шоколад Ritter Sport молочный с клубникой в йогурте,6.3,37.7,52.4,570
1868,Шоколад Ritter Sport молочный с кокосовой начинкой,7,41,48,584
1869,Шоколад Ritter Sport молочный с кукурузными хлопьями,6.4,28,60.5,519
1870,Шоколад Ritter Sport молочный с лесным орехом и калифорнийским изюмом,6.9,29.1,55.9,513
1871,Шоколад Ritter Sport молочный с миндалем из Калифорнии,11,36.8,45.4,557
1872,Шоколад Ritter Sport молочный с нежным йогуртом,8.7,38.1,48.4,571
1873,Шоколад Ritter Sport молочный с нежным кремом Капучино,6.3,40.5,48.6,584
1874,"Шоколад Ritter Sport молочный с орехом, изюмом и ямайским ромом",7.3,30.8,54.3,524
1875,Шоколад Ritter Sport молочный с печеньем,6,34,55,545
1876,Шоколад Ritter Sport молочный с цельным лесным орехом,7,38,47,559
1877,Шоколад Ritter Sport молочный Эспрессо,6,39,47.2,561
1878,Шоколад Ritter Sport темный с благородным марципаном,7.5,27.4,55.8,500
1879,Шоколад Ritter Sport темный с мятой,4,27,58,493
1880,Шоколад Ritter Sport темный с цельным лесным орехом,8,38.7,44.7,559
1881,Шоколад Roshen Брют 78% горький,10,43,25,550
1882,Шоколад Snickers,9.3,27.9,54.6,507
1883,Шоколад Snickers Mad Mix с семечками,9.4,32,51.7,533
1884,Шоколад Snickers с лесным орехом,7.5,28.5,56,514
1885,Шоколад Snickers с миндалем,8,27.7,56.2,509
1886,Шоколад Snickers с семечками,8.8,31.5,53,536
1887,Шоколад Twix,5,25,63,496
1888,Шоколад Twix 'Xtra,4.8,24.9,63.2,497
1889,Шоколад Twix Белый,4.9,25.2,63.7,503
1890,Шоколад Twix Капучино,4.9,24.9,62.9,496
1891,Шоколад Twix Кофе-Сливки,4.9,24.9,62.9,496
1892,Шоколад Twix Шоколадный Мокко,4.9,24.9,62.9,496
1893,Шоколад Априори Ассорти горького шоколада,10.6,44.4,28.9,558
1894,Шоколад белый,4.2,30.4,62.2,541
1895,Шоколад белый с кокосом,7.3,35,54.6,562
1896,Шоколад пористый белый с фундуком,5,32.6,58.6,550
1897,Шоколад пористый молочный,5.7,27.9,61.4,522
1898,Шоколад пористый тёмный,5.7,28.5,58.7,517
1899,Шоколад горький,6.2,35.4,48.2,539
1900,Шоколад Коммунарка горький 68%,8.4,40.9,40,567
1901,Шоколад молочный,6.9,35.7,54.4,550
1902,Шоколад Победа вкуса 36% молочный,12,32,34,470
1903,Шоколад Победа вкуса 72% горький,10,36,36,510
1904,Шоколад Победа вкуса 72% горький со стевией,10,36,25,460
1905,Шоколад Россия Очень Молочный,5.2,32.3,58.9,551
1906,Шоколад с орехами,6.6,40.9,49.9,580
1907,Шоколад Спартак 90% горький,15,41,26,540
1908,Шоколад Спартак молочный,6,34,55,540
1909,Шоколад Томер белый 32%,8,36,52,570
1910,Шоколад Томер молочный 43%,10,35,43,490
1911,Шоколадные дропсы,5,27.5,57,510
1912,Батончик Nestle Fitness с цельными злаками и клубникой,5.8,6.7,68.9,369
1913,Батончик злаковый Corny Big с бананом и шоколадом,6.1,15.2,65.6,424
1914,Батончик злаковый Corny Big с клюквой,5.9,7.4,71.4,377
1915,Батончик злаковый Corny Big с лесными орехами,6.4,15.6,63.2,419
1916,Батончик злаковый Corny Big с шоколадом,7,17,62.9,433
1917,Варенье из абрикосов,0,0,62,236
1918,Варенье из айвы,0.4,0.2,70.6,273
1919,Варенье из апельсинов,2.6,0.5,70,245
1920,Варенье из брусники,0.2,0.1,64.6,244
1921,Варенье из вишни,0,0,64,256
1922,Варенье из груши,0.3,0.2,70.8,273
1923,Варенье из дыни,0.3,0.1,44.7,197
1924,Варенье из земляники,0.3,0.1,58,219
1925,Варенье из инжира,0,0,62,236
1926,Варенье из клубники,0.3,0.1,74,285
1927,Варенье из лимонов,0,0,60,240
1928,Варенье из малины,0.6,0.2,70.4,273
1929,Варенье из мандаринов,0.7,0.2,75.9,294
1930,Варенье из облепихи,0.7,3.7,34.4,165
1931,Варенье из персиков,0.5,0,66.8,258
1932,Варенье из ревеня,0.5,0.5,82.4,314
1933,Варенье из сливы,0.4,0.3,74.2,288
1934,Варенье из черники,0.4,0.2,56.1,214
1935,Варенье из чёрной смородины,0.6,0.1,72.9,284
1936,Варенье из черноплодной рябины,0.4,0,74.8,387
1937,Варенье из яблок,0.4,0.3,68.2,265
1938,Вафли венские с карамелью,8.1,19.4,53.3,424
1939,Вафли венские со взбитыми сливками,4.8,23.3,50.5,489
1940,Вафли Яшкино с карамельной начинкой,6,15.2,67.9,430
1941,Галеты Любятово классические,11.1,1.2,76,365
1942,Ганаш,4.9,34.5,52.5,542
1943,Ганаш белый,3.9,37.2,48.9,547
1944,Ганаш шоколадный,4.9,34.5,52.5,542
1945,Гематоген,6,3,75.7,354
1946,Десерт  Трубочка вафельная с вареным сгущенным молоком,10.1,14.9,57.6,405
1947,Десерт Konti Bonjour ванильный,4,20.1,63.6,443
1948,Джем Zero низкокалорийный Абрикос,0.6,0.1,9.9,43
1949,Джем Zero низкокалорийный Ежевика,1,0,4.8,25
1950,Джем Zero низкокалорийный Клубника,0.2,0.2,5.2,24
1951,Джем апельсиновый,0.8,0.4,63,268
1952,Джем банановый,0.1,0,59.2,215
1953,Джем брусничный,0.8,0.7,59,250
1954,Джем вишневый,0,0,56.5,226
1955,Джем голубичный,0.7,0.2,58.8,241
1956,Джем клубничный,0,0,65,272
1957,Джем малиновый,0.7,0.4,23.9,106
1958,Джем мандариновый,0.3,0,70.8,276
1959,Джем Махеевъ Абрикосовый,0,0,68,272
1960,Джем Махеевъ Вишнёвый,0,0,68,272
1961,Джем Махеевъ Клубничный,0,0,68,272
1962,Джем Махеевъ Персик-Манго,0,0,67,268
1963,Джем Махеевъ Фейхоа,0,0,55,220
1964,Джем Махеевъ Черничный,0,0,68,272
1965,Джем Махеевъ Черносмородиновый,0,0,68,272
1966,Джем персиковый,0.5,0,66.8,258
1967,Джем сливовый,0.4,0.3,73.2,288
1968,Джем черничный,0.4,0.2,53.1,214
1969,Джем яблочный,0,0,24,245
1970,Джем-мармелад Frutley из сосновых шишек,0,0,47.5,181
1971,Драже Maltesers,8.1,24.3,61.7,500
1972,Драже Milka Clusters Bitz,5.4,22,62.1,470
1973,Драже Milka Lila Stars Bitz,7.7,35.5,50,555
1974,Драже арахис с мёдом и кунжутом,16.8,36.4,33.4,528
1975,Драже жевательные Mentos,0,2,93,390
1976,Драже Изюм в шоколаде,3.6,8.9,73.2,379
1977,Драже Тик Так,0.2,0.6,96.7,397
1978,Желе апельсиновое,2.8,0,20.3,88
1979,Желе вишневое,2.8,0,14,56
1980,Желе для торта,2.8,0,20.3,88
1981,Желе из киви,2.5,0,15.6,69
1982,Желе клубничное,2.5,0,15.6,69
1983,Желе лимонное,2.8,0,20.3,88
1984,Желе молочное,2.7,1.2,2.4,32
1985,Желе яблочное,2.5,0,15.6,69
1986,Зефир,0.8,0,78.5,304
1987,Зефир Красная цена ванильный,0.1,0,77.6,311
1988,Зефир с ванильным вкусом,0.7,0.1,80.5,311
1989,Зефир с клубникой,1,0.1,80,310
1990,Ирис Meller Белый шоколад,3.3,9.4,80.6,421
1991,Ирис Meller Капучино,3,8.6,80.3,414
1992,Ирис Meller Пралине,3,8.6,80.3,414
1993,Ирис Meller Тёмный шоколад,3,6.6,79.2,396
1994,Ирис Meller Шоколад,3,8.6,79.2,410
1995,Карамель леденцовая Halls оригинальная,0.1,0,97,395
1996,Карамель фруктовая,0.1,0.1,92.2,357
1997,Карамель шоколадно-ореховая,1.8,9.2,86.8,420
1998,Кекс с изюмом,6.4,17.6,53.6,384
1999,Кекс Яшкино Итальянский с клубничным джемом и сливочным кремом,5.5,18,50,380
2000,Козинак Арахисовый,14.3,25.1,52.5,485
2001,Козинак Кунжутный,12.1,28.9,52.4,510
2002,Козинак Подсолнечный,14.8,42.6,34.5,576
2003,Конфеты 35 со сливочной начинкой,4.5,30,60,530
2004,Конфеты Ferrero Rocher,8.8,41.3,43.2,580
2005,Конфеты Haribo Chamallows,3.5,0.5,80,332
2006,Конфеты Raffaello,9.3,47.8,38.8,623
2007,Конфеты Rondo с ароматом мяты,0.6,0,98.4,405
2008,Конфеты батончики Рот-Фронт,10.7,29.5,53.2,514
2009,Конфеты грильяжные,5.3,26.9,65.6,523
2010,Конфеты Коровка сливочная,2.7,4.4,82.4,351
2011,Конфеты Марсианка Чизкейк,2.5,14.2,63.8,375
2012,Конфеты Славянка Золотой степ глазированные арахис карамель,10,27.4,51.4,498
2013,Конфеты Славянка Лёвушка,1,7.4,74.4,371
2014,Конфеты Сладкие зверята,6,27,55,487
2015,Конфеты Спринт с печеньем,4.9,21.7,67.3,420
2016,Коржи бисквитные готовые,5.9,0.8,56.3,258
2017,Коржи вафельные,10.2,4.2,65.7,341
2018,Коржи для медовика,6.3,11.4,64.5,384
2019,Крекер Tuc Cheezzz,8.5,24.2,57.5,485
2020,Крекер Tuc Original,8.1,22,61.5,479
2021,Кукурузные палочки,8.3,1.2,75,325
2022,Кукурузные палочки сладкие,4.7,13,82.9,467
2023,Мармелад жевательный Fruit-tella Микс,0,0,82,354
2024,Мармелад жевательный Haribo Berries,1,0,84,341
2025,Мармелад жевательный Haribo Золотой мишка,6.9,0,77,343
2026,Мармелад жевательный Бон Пари Айс Крим,5.5,0,76.5,332
2027,Мармелад жевательный Бон Пари Бегемотики,4.3,0,74.5,321
2028,Мармелад жевательный Бон Пари Весёлые челюсти,4.7,0,75.2,325
2029,Мармелад жевательный Бон Пари Кислые червячки,3.6,0,77.2,330
2030,Мармелад жевательный Бон Пари Кола,4.4,0,75,322
2031,Мармелад жевательный Бон Пари Машинки,4.8,0,75.9,329
2032,Мармелад жевательный Бон Пари Медвежата,4.8,0,75.7,328
2033,Мармелад жевательный Бон Пари Морское царство,4.7,0,73.8,320
2034,Мармелад Мармеландия Лимонные дольки,0.1,0,81,326
2035,Мармелад фруктово-ягодный,0.4,0,76.6,293
