id,products_name,protein_per_100g,fat_per_100g,carb_per_100g,kcal_per_100g
236,Ячменная крупа (сухой),10,1.3,71.7,324
237,Ячменные хлопья (сухой),9.8,3.6,79.4,355
238,Ячменные хлопья Myllyn Paras (сухой),11,2,63,320
239,Ячневая каша на воде,2.3,0.3,15.7,76
240,Ячневая каша на молоке,3.6,2,19.8,111
241,Ячневая крупа (сухой),10.4,1.3,66.3,324
242,Ячневая крупа Makfa в пакетиках (сухой),10,1.3,65.4,313
243,Жир бараний топлёный,0,99.7,0,897
244,Жир говяжий топлёный,0,99.7,0,897
245,Жир из печени трески,0,99.8,0,898
246,Жир кондитерский для шоколадных изделий,0,99.7,0,897
247,Жир кондитерский твердый,0,99.8,0,898
248,Жир костный топлёный,0,99.7,0,897
249,Жир кулинарный,0,99.7,0,897
250,Жир куриный,0,99.7,0,897
251,Жир рыбий,0,100,0,902
252,Жир свиной топлёный,0,99.6,0,896
253,Маргарин низкокалорийный,0.5,60,0.7,545
254,Маргарин сливочный,0.5,82,0,745
255,Маргарин столовый молочный,0.3,82,1,743
256,Масло абрикосовое,0,99.9,0,899
257,Масло авокадо,0,100,0,884
258,Масло амаранта,0,81.8,0,736
259,Масло арахисовое,0,99.9,0,899
260,Масло виноградных косточек,0,99.9,0,899
261,Масло горчичное,0,99.8,0,898
262,Масло грецкого ореха,0,99.8,0,898
263,Масло гхи топлёное,0,100,0,902
264,Масло зародышей пшеницы,0,100,0,884
265,Масло какао,0,99.9,0,899
266,Масло кедрового ореха,0,99,0,898
267,Масло кокосовое,0,99.9,0,899
268,Масло конопляное,0,99.9,0,899
269,Масло кукурузное,0,99.9,0,899
270,Масло кунжутное,0,99.9,0,899
271,Масло льняное,0,99.8,0,898
272,Масло макадамии,9.2,74.6,10,708
273,Масло миндальное,0,90.7,0,816
274,Масло мускатного ореха,0,100,0.1,899
275,Масло облепиховое,0,99.5,0,896
276,Масло оливковое,0,99.8,0,898
277,Масло ореховое,0,100,0,899
278,Масло пальмовое,0,99.9,0,899
279,Масло подсолнечное,0,99.9,0,900
280,Масло рапсовое,0,99.9,0,899
281,Масло растительное нерафинированное,0,99,0,899
282,Масло растительное рафинированное,0,99,0,899
283,Масло расторопши,0,98,0,889
284,Масло репейное,0,100,0,930
285,Масло сливочное,0.5,82.5,0.8,748
286,Масло сливочное 60%,1.3,60,1.7,552
287,Масло сливочное 67%,1,67,1.6,610
288,Масло сливочное 82%,0.7,82,0.7,740
289,Масло сливочное крестьянское несолёное 72.5%,1,72.5,1.4,662
290,Масло сливочное крестьянское солёное 72.5%,1,72.5,1.4,662
291,Масло сливочное шоколадное,1.5,62,18.6,642
292,Масло топлёное,0.2,99,0,892
293,Масло топлёное МакЛарин с чёрным трюфелем,0,99,0,890
294,Масло тыквенное,0,99.5,0,896
295,Масло ши (карите),0,98,0,884
296,Тахина,24,62,10,695
297,Actimel Вишня,2.9,1.5,11.5,74
298,Actimel Гранат,2.7,1.5,11.5,73
299,Actimel Земляника и шиповник,2.7,1.5,11.5,73
300,Actimel Клубника,2.7,1.5,11.5,72
301,Actimel Малина и клюква,2.7,1.5,11.5,72
302,Actimel Мультифрукт,2.7,1.5,12,75
303,Actimel Натуральный,2.8,1.6,10.5,71
304,Actimel Черника и ежевика,2.9,1.5,11.5,74
305,Exponenta High-Pro Черника-Алоэ,12,0,2.5,60
306,Fruttis Сливочное лакомство Клубника-Земляника,2.2,5,17,122
307,Neo Имунеле Natural,1.8,0.9,11.8,63
308,Neo Имунеле Гранат-Вишня,2.5,1.2,12.4,70
309,Neo Имунеле Клюква-Малина,2.5,1.2,12.6,71
310,Neo Имунеле Лесные ягоды,2.5,1.2,13.1,73
311,Айран (тан) газированный,1.1,1.5,1.4,24
312,Айран (тан) из козьего молока,1.1,1.5,1.4,24
313,Айран (тан) негазированный,1.1,1.5,1.4,24
314,Айран (тан) негазированный нежирный,1.1,0.2,1.4,12
315,Айран (тан) с укропом и огурцом,1.1,1,1.4,19
316,Айран (тан) сильногазированный,1.1,1,1.4,19
317,Активиа Быстрый завтрак Клубника,4.3,2.8,20.9,127
318,Активиа Быстрый завтрак Натуральный,4.8,3.1,14.4,107
319,Активиа Быстрый завтрак с овсянкой Яблоко-Груша,3.6,3.1,16.7,110
320,Активиа Кефирная 1%,2.9,1,4.5,39
321,Активиа Кефирная 3%,2.9,3,3.6,53
322,Активиа Момент удовольствия Вишня,4.3,2.7,13.7,97
323,Активиа Момент удовольствия Земляника,4.3,2.7,12.9,97
324,Активиа Питьевая Ананас,2.8,2,12.2,77
325,Активиа Питьевая Бифидойогурт Классический 1.5%,3.4,1.5,4.4,45
326,Активиа Питьевая Вишня и чёрная смородина,2.6,2,12.8,81
327,Активиа Питьевая Злаки,2.8,2.2,12.4,81
328,Активиа Питьевая Клубника и земляника,2.8,2.2,12.4,81
329,Активиа Питьевая Малина и злаки,2.8,2.1,11,74
330,Активиа Питьевая Натуральная,3.2,2.4,4.5,52
331,Активиа Питьевая Тыква банан и корица,2.9,2.1,10.9,74
332,Активиа Питьевая Чернослив,2.8,2,12.8,80
333,Активиа Питьевая Яблоко и злаки,2.8,2.2,13,83
334,Активиа Семейная Клубника,3.9,3.2,13.6,98
335,Активиа Семейная Персик,3.9,3.2,13.6,98
336,Активиа Творожная Клубника,5,4.5,15.5,123
337,Активиа Творожная Малина,4.2,4.5,11.4,102
338,Активиа Творожная Мюсли,5,4.5,15.5,123
339,Активиа Творожная Мюсли и манго,4.8,4.5,14.7,119
340,Активиа Творожная Натуральная,5.9,4.5,3.7,79
341,Активиа Творожная Отруби и злаки,4.9,4.3,13.7,113
342,Активиа Творожная Чернослив,4.7,4.2,14.4,114
343,Активиа Фреш Арбуз,2.8,1.6,12.3,74
344,Активиа Фреш Вишня,2.8,1.6,11,70
345,Активиа Фреш Гранат и Малина,2.8,1.6,11,70
346,Активиа Фреш Манго,2.8,1.6,12,73
347,Активиа Фреш Персик,2.8,1.6,11,70
348,Биойогурт Активиа Виноград Манго Папайя Семена Чиа,4.1,2.9,10.8,86
349,Биойогурт Активиа Клубника Яблоко Питахайя,4.1,2.9,10.9,86
350,Биойогурт Слобода питьевой с грушей и злаками 2%,2.8,2,11,73
351,Биойогурт Слобода с гранолой и изюмом 5%,3.6,5,14.3,117
352,Биойогурт Слобода с клубникой 2.5%,3,2.5,13.6,90
353,Биойогурт Слобода термостатный двухслойный с цветочным медом 2%,3.5,2,10.5,75
354,Биойогурт Слобода термостатный двухслойный с черникой 2%,3.6,2,15.8,93
355,Даниссимо Белый персик - белый шоколад,4.6,6.1,18.3,147
356,Даниссимо Вишня,4.7,5.4,17.5,138
357,Даниссимо Груша-ваниль,4.7,5.4,17.1,136
358,Даниссимо Клубника,4.7,5.4,17.1,136
359,Даниссимо Крем-брюле,4.6,4.6,18.8,135
360,Даниссимо Лесные ягоды,4.7,5.4,17.2,136
361,Даниссимо Малина-земляника,4.7,5.4,16,131
362,Даниссимо Пахлава,4.7,5.1,15.8,128
363,Даниссимо Пинаколада,4.6,5.3,16.1,131
364,Даниссимо Пломбир,5.3,5.4,13.3,123
365,Даниссимо с хрустящими шариками,4.9,7.3,16.5,151
366,Даниссимо с хрустящими шариками Ванильный,4.9,7.3,16.5,151
367,Даниссимо Черника,4.7,5.4,16.5,134
368,Даниссимо Шоколад,5,7.1,16,148
369,Даниссимо Яблочный пирог,4.7,5.4,13.6,122
370,Запеканка творожная,17.6,4.2,14.2,168
371,Йогурт Danone Вишня и черешня,2.9,1.6,15.7,89
372,Йогурт Danone Клубника,2.8,1.5,14.5,83
373,Йогурт Danone Персик и маракуйя,2.8,1.5,14.5,83
374,Йогурт Danone термостатный густой 1.5%,3.6,1.5,5.2,49
375,Йогурт Danone традиционный,4.6,3.3,6.7,75
376,Йогурт Danone Черника,2.8,1.5,14.5,83
377,Йогурт Eco Greco Вишня и черешня,5.7,4.8,13.9,120
378,Йогурт  Eco Greco Гранат и малина,5.7,4.8,13.7,120
379,Йогурт  Eco Greco Клубника,5.7,4.8,13.4,120
380,Йогурт  Eco Greco Натуральный 6%,7,6,4.2,100
381,Йогурт Активиa Вишня,3.8,2.9,17.4,111
382,Йогурт Активиa Клубника,3.8,2.9,14.1,98
383,Йогурт Активиa Мюсли,3.8,3.2,15.8,107
384,Йогурт Активиa Мюсли и киви,3.8,3,15.8,105
385,Йогурт Активиa Мюсли и персик,3.8,3.2,15.8,107
386,Йогурт Активиa Натуральный,4.5,3.5,6.3,75
387,Йогурт Активиa Отруби и злаки,3.8,2.9,14,97
388,Йогурт Активиa Чернослив,3.8,2.9,14.5,99
389,Йогурт Активиа Био+протеиновая натуральная,8.8,1.8,3.8,67
390,Йогурт Активиа Инжир,3.8,2.9,14.1,98
391,Йогурт Активиа лёгкая 1.5%,5.3,1.5,7.5,65
392,Йогурт Активиа Термостатная Натуральный,3.5,3.5,4.8,65
393,Йогурт греческий,5,3.2,3.5,66
394,Молоко 0.1% (обезжиренное),2,0.1,4.8,31
395,Молоко 0.5%,2.8,0.5,4.9,35
396,Молоко 0.7%,3.3,0.7,4.7,38
397,Молоко 1%,3.3,1,4.8,41
398,Молоко 1.5%,2.8,1.5,4.7,44
399,Молоко 2.5%,2.8,2.5,4.7,52
400,Молоко 3.2%,2.9,3.2,4.7,59
401,Молоко 3.2% (пастеризованное),2.8,3.2,4.7,58
402,Молоко 3.6%,2.8,3.6,4.7,62
403,Молоко 4.5%,3.1,4.5,4.7,72
404,Молоко Parmalat низколактозное 1.8%,3,1.8,4.7,47
405,Молоко козье,3.6,3.3,4.8,68
406,Молоко кокосовое Blue Dragon,1.8,14.9,2.7,152
407,Молоко кокосовое Chaokoh Less Fat,1,7.5,1.3,75
408,Молоко кокосовое Sen Soy,1,6,3,70
409,Молоко коровье свежее,2.9,3.5,4.7,62
410,Молоко кунжутное,3.1,8.1,14.2,142
411,Молоко овечье,6.5,7.7,4.8,110
412,Молоко овсяное Alpro 1.2%,0.3,1.5,7,44
413,Молоко ореховое,3.7,3.5,21.3,126
414,Молоко безлактозное 1.5%,3,1.5,4.7,44
415,Молоко рисовое натуральное,0.1,1.3,12.2,60
416,Молоко рисовое с кокосом Bite,0.3,1.3,11.7,60
417,Молоко сгущённое без сахара,6.6,7.5,9.4,131
418,Молоко сгущённое с сахаром,7.2,8.5,56,320
419,Молоко соевое Alpro,3.3,1.8,0,32
420,Молоко соевое обезжиренное,2.5,0,3.9,28
421,Молоко сухое обезжиренное,33.2,1,52.6,362
422,Молоко сухое цельное,26,25,37.5,476
423,Молоко сухое цельное Беллакт 25%,24.2,25,39,478
424,Молоко топлёное,3,6,4.7,84
425,Молоко топлёное 3.2%,3,3.2,4.7,60
426,Молочко кедровое,2.3,4.5,1.2,55
427,Напиток Alpro кокосовый,0.1,0.9,2.7,19
428,Напиток Alpro кокосовый без сахара,0.1,1.2,0.4,13
429,Напиток Alpro кокосовый с рисом,0.1,0.9,2.7,19
430,Напиток Alpro миндальный,0.4,1.1,2.4,21
431,Напиток Alpro миндальный без сахара,0.4,1.1,0.1,12
432,Напиток Nemoloko гречневое классическое лайт 1.5%,1,1.5,6.5,45
433,Напиток Nemoloko кокосовое BARISTA,0.4,1.5,5,35
434,Напиток Nemoloko миндальное BARISTA,0.4,1.3,2.7,25
435,Напиток Nemoloko овсяное классическое 3.2%,1,3.2,6.5,60
436,Напиток Nemoloko овсяное классическое лайт 1.5%,1,1.5,6.5,45
437,Напиток Nemoloko овсяное сливочное 12%,1,12,6,140
438,Напиток Nemoloko овсяное шоколадное,1,3.2,9.5,70
439,Напиток Nemoloko овсяное экстралайт 0.5%,1,0.5,6.5,150
440,Напиток Nemoloko овсяный ванильный десерт,1,10,15,150
441,Напиток Nemoloko рисовое классическое лайт 1.5%,0.2,1.5,12,60
442,Пахта 0.5%,3.4,0.5,4.7,37
443,Пахта 1%,3.3,1,4.7,40
444,Продукт Nemoloko овсяная S‘METANA 20%,5,20,10,240
445,Продукт Nemoloko овсяный YO'GURT Груша с овсяными хлопьями,5,5,16,130
446,Продукт Nemoloko овсяный YO'GURT Манго-Маракуйя,5,5,15,125
447,Продукт Nemoloko овсяный YO'GURT Персик,5,5,16,130
448,Продукт Nemoloko овсяный YO'GURT Черника,5,5,18,140
449,Простокваша 0.1%,3,0.1,3.8,30
450,Простокваша 1%,3,1,4.1,40
451,Простокваша 2.5%,2.9,2.5,4.1,53
452,Простокваша 3.2%,2.8,3.2,4.1,58
453,Пудинг Ehrmann High Protein со вкусом ванили 1.5%,10,1.5,6.1,80
454,Пудинг Чудо Ваниль,2.5,3,16.9,106
455,Пудинг Чудо Карамель,2.5,3,15,98
